episode_id,season,episode,painting_title,colors,subjects,image
S16E09,16,09,Barn in snow oval,"Alizarin Crimson, Dark Sienna, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER,FENCE,FRAMED,OVAL_FRAME,SNOW,STRUCTURE,TREE,TREES,WINTER",https://www.twoinchbrush.com/images/painting93.webp
S16E10,16,10,That time of year,"Alizarin Crimson, Bright Red, Cadmium Yellow, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown","CLOUDS,DECIDUOUS,GUEST,HILLS,LAKE,STEVE_ROSS,TREE,TREES",https://www.twoinchbrush.com/images/painting94.webp
S16E11,16,11,Waterfall wonder,"Alizarin Crimson, Black Gesso, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES,DECIDUOUS,RIVER,ROCKS,TREE,TREES,WATERFALL",https://www.twoinchbrush.com/images/painting95.webp
S16E12,16,12,Mighty mountain lake,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS,CUMULUS,FLOWERS,GRASS,LAKE,MOUNTAIN,SNOWY_MOUNTAIN",https://www.twoinchbrush.com/images/painting96.webp
S16E13,16,13,Wooded stream oval,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS,FRAMED,OVAL_FRAME,RIVER,ROCKS,TREE,TREES",https://www.twoinchbrush.com/images/painting97.webp
S17E01,17,01,Golden mist oval,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER,FOG,FRAMED,OVAL_FRAME,RIVER,TREE,TREES",https://www.twoinchbrush.com/images/painting71.webp
S17E02,17,02,The old home place,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN,DECIDUOUS,FENCE,GRASS,PATH,STRUCTURE,TREE",https://www.twoinchbrush.com/images/painting72.webp
S17E03,17,03,Soothing vista,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS,GRASS,LAKE,MOUNTAIN,MOUNTAINS,TREE,TREES",https://www.twoinchbrush.com/images/painting73.webp
S17E04,17,04,Stormy seas,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS,CUMULUS,OCEAN,ROCKS,SUN,WAVES",https://www.twoinchbrush.com/images/painting74.webp
S17E05,17,05,Country time,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Clear, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN,DECIDUOUS,FLOWERS,FRAMED,LAKE,OVAL_FRAME,STRUCTURE,TREE",https://www.twoinchbrush.com/images/painting75.webp
S17E06,17,06,A mild winters day,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS,CONIFER,DECIDUOUS,RIVER,SNOW,TREE,TREES,WINTER",https://www.twoinchbrush.com/images/painting76.webp
S17E07,17,07,Spectacular waterfall,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Clear, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER,MOUNTAIN,MOUNTAINS,RIVER,ROCKS,TREE,TREES,WATERFALL",https://www.twoinchbrush.com/images/painting77.webp
S17E08,17,08,View from the park,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","APPLE_FRAME,BUILDING,DECIDUOUS,FRAMED,LAKE,STRUCTURE,TREE,TREES",https://www.twoinchbrush.com/images/painting78.webp
S17E09,17,09,Lake view,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER,DECIDUOUS,FLOWERS,GRASS,GUEST,HILLS,LAKE,STEVE_ROSS,TREE,TREES",https://www.twoinchbrush.com/images/painting79.webp
S17E10,17,10,Old country mill,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS,MILL,RIVER,ROCKS,STRUCTURE,TREE,WATERFALL",https://www.twoinchbrush.com/images/painting80.webp
S17E11,17,11,Morning walk,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS,FOG,PATH,TREE,TREES",https://www.twoinchbrush.com/images/painting81.webp
S17E12,17,12,Natures splendor,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER,GRASS,MOUNTAIN,RIVER,SNOWY_MOUNTAIN,TREE,TREES",https://www.twoinchbrush.com/images/painting82.webp
S17E13,17,13,Mountain beauty,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CUMULUS,FLOWERS,GRASS,GUEST,HILLS,LAKE,MOUNTAIN,SNOWY_MOUNTAIN,TREE,TREES",https://www.twoinchbrush.com/images/painting83.webp
S18E01,18,01,Halfoval vignette,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES,CLOUDS,CONIFER,CUMULUS,FRAMED,HALF_OVAL_FRAME,LAKE,MOUNTAIN,MOUNTAINS,TREE,TREES",https://www.twoinchbrush.com/images/painting58.webp
S18E02,18,02,Absolutely autumn,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES,CLOUDS,CUMULUS,DECIDUOUS,GRASS,RIVER,TREE,TREES",https://www.twoinchbrush.com/images/painting59.webp
S18E03,18,03,Mountain seclusion,"Alizarin Crimson, Black Gesso, Cadmium Yellow, Dark Sienna, Liquid Clear, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown","CABIN,CLOUDS,CONIFER,MOUNTAIN,MOUNTAINS,RIVER,SNOW,STRUCTURE,TREE,TREES,WINTER",https://www.twoinchbrush.com/images/painting60.webp
S18E04,18,04,Crimson oval,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS,GRASS,RIVER,TREE,TREES,WATERFALL",https://www.twoinchbrush.com/images/painting61.webp
S18E05,18,05,Autumn exhibition,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS,GRASS,LAKE,TREE,TREES",https://www.twoinchbrush.com/images/painting62.webp
S18E06,18,06,Majestic peaks,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES,CONIFER,LAKE,MOUNTAIN,MOUNTAINS,SNOWY_MOUNTAIN,TREE,TREES",https://www.twoinchbrush.com/images/painting63.webp
S18E07,18,07,Golden morning mist,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS,FOG,GRASS,RIVER,TREE,TREES",https://www.twoinchbrush.com/images/painting64.webp
S18E08,18,08,Winter lace,"Alizarin Crimson, Bright Red, Dark Sienna, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown","CLOUDS,CUMULUS,DECIDUOUS,FRAMED,HALF_CIRCLE_FRAME,LAKE,SNOW,TREE,TREES,WINTER",https://www.twoinchbrush.com/images/painting65.webp
S18E09,18,09,Seascape fantasy,"Alizarin Crimson, Black Gesso, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CIRRUS,CLOUDS,OCEAN,WAVES",https://www.twoinchbrush.com/images/painting66.webp
S18E10,18,10,Double oval stream,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Black, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES,DECIDUOUS,FRAMED,RIVER,TREE,TREES",https://www.twoinchbrush.com/images/painting67.webp
S18E11,18,11,Enchanted forest,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS,PATH,TREE,TREES",https://www.twoinchbrush.com/images/painting68.webp
S18E12,18,12,Southwest serenity,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CACTUS,CIRRUS,CLOUDS,MOUNTAIN,MOUNTAINS,PATH",https://www.twoinchbrush.com/images/painting69.webp
S18E13,18,13,Rippling waters,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Black, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS,RIVER,ROCKS,SUN,TREE,TREES,WATERFALL",https://www.twoinchbrush.com/images/painting70.webp
S19E01,19,01,Snowfall magic,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS,RIVER,SNOW,TREE,TREES,WINTER",https://www.twoinchbrush.com/images/painting44.webp
S19E02,19,02,Quiet mountain lake,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Clear, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS,CUMULUS,DECIDUOUS,GRASS,LAKE,MOUNTAIN,TREE,TREES",https://www.twoinchbrush.com/images/painting45.webp
